dataset_name,classifier_name,accuracy
ford:FordA->FordB,CoTMix,0.7901234568000001
mfd:0->1,Inception,0.4905660377
ptbXLecg:2->1,VRADA,0.6774541532
sportsActivities:p1->p8,VRADA,0.2324561404
hhar:g->h,OTDA,0.3945409429
ultrasoundMuscleContraction:subject3->subject5,CoDATS,0.406
ptbXLecg:0->3,Inception,0.6493506494
sleepStage:7->18,Inception,0.5830388693
sportsActivities:p5->p6,InceptionCDAN,0.3596491228
hhar:c->d,InceptionDANN,0.6788617886
ultrasoundMuscleContraction:subject2->subject7,VRADA,0.5395
mfd:2->1,Inception,0.8224195339
ford:FordB->FordA,InceptionMix,0.8590909091000001
hhar:i->a,VRADA,0.5375335121
har:12->16,VRADA,0.4090909091
ultrasoundMuscleContraction:subject2->subject7,InceptionDANN,0.5660000000000001
sleepStage:1->16,Inception,0.6015503876
har:7->13,OTDA,0.5353535354
ptbXLecg:0->1,InceptionCDAN,0.7087378641000001
mfd:0->3,InceptionCDAN,0.5904550499
mfd:1->0,InceptionSASA,0.4805771365
OnHWeq:OnHW_equations_R->OnHW_equations_L,VRADA,0.4543524416
miniTimeMatch:FR1->AT1,CoDATS,0.6536729037
ptbXLecg:0->1,InceptionRain,0.6860841424
cwrBearing:0->3,CoDATS,0.8806086617000001
sportsActivities:p1->p8,Raincoat,0.5745614035000001
ptbXLecg:0->2,VRADA,0.582460733
mfd:1->0,InceptionRain,0.3496115427
har:6->23,CoTMix,0.6964285714
mfd:0->1,SASA,0.4816870144
hhar:g->h,InceptionRain,0.611662531
har:6->23,Raincoat,0.7678571429000001
ultrasoundMuscleContraction:subject2->subject7,SASA,0.55825
miniTimeMatch:FR2->AT1,Inception,0.5904365904000001
hhar:a->b,CoDATS,0.6678700361000001
cwrBearing:3->0,InceptionSASA,0.589770911
mfd:0->3,VRADA,0.4550499445
sportsActivities:p5->p6,CoDATS,0.6096491228
cwrBearing:0->1,InceptionDANN,0.8777777778
miniTimeMatch:FR1->FR2,CoDATS,0.8215523216
wisdm:21->31,InceptionRain,0.3943661972
wisdm:5->1,VRADA,0.4166666667
ford:FordA->FordB,InceptionDANN,0.8395061728000001
ultrasoundMuscleContraction:subject2->subject7,Inception,0.4505
mfd:0->1,InceptionRain,0.7003329634000001
wisdm:3->5,InceptionDANN,0.6086956522
miniTimeMatch:FR1->AT1,Inception,0.6713444213
sleepStage:11->0,Inception,0.8257191201
cwrBearing:0->1,InceptionCDAN,0.8492063492
sportsActivities:p5->p4,InceptionDANN,0.7280701754000001
wisdm:5->1,CoDATS,0.4166666667
hhar:e->f,InceptionCDAN,0.6873278237
sportsActivities:p5->p4,Raincoat,0.7192982456
hhar:g->h,InceptionDANN,0.5347394541
sportsActivities:p1->p8,InceptionMix,0.5087719298
sleepStage:9->14,CoDATS,0.8330494037
har:12->16,CoDATS,0.5909090909
har:7->13,InceptionRain,0.9191919192
ultrasoundMuscleContraction:subject5->subject4,CoDATS,0.5537500000000001
sportsActivities:p5->p4,VRADA,0.20614035090000002
wisdm:27->3,Inception,0.3620689655
wisdm:7->30,Inception,0.24390243900000003
mfd:0->3,InceptionRain,0.6348501665
OnHWeq:OnHW_equations_R->OnHW_equations_L,InceptionRain,0.4867303609
ptbXLecg:0->3,InceptionSASA,0.48051948050000004
ptbXLecg:3->0,Inception,0.6615044248
sportsActivities:p7->p3,InceptionCDAN,0.7368421053
har:12->16,InceptionSASA,0.4454545455
miniTimeMatch:FR1->FR2,VRADA,0.8186070686
OnHWeq:OnHW_equations_L->OnHW_equations_R,InceptionCDAN,0.3220381737
wisdm:3->5,InceptionSASA,0.36956521740000003
cwrBearing:0->3,SASA,0.635193133
mfd:1->2,InceptionCDAN,0.7891231964000001
mfd:0->1,VRADA,0.4472807991
sportsActivities:p3->p7,Inception,0.6359649123000001
cwrBearing:0->3,VRADA,0.4295747171
miniTimeMatch:DK1->FR1,InceptionSASA,0.5448717949
mfd:1->0,VRADA,0.4550499445
cwrBearing:0->3,Inception,0.7342957472
ptbXLecg:1->2,Inception,0.6518324607
wisdm:5->1,Raincoat,0.7916666667000001
wisdm:27->3,InceptionSASA,0.4310344828
cwrBearing:2->0,OTDA,0.5966968567000001
hhar:g->h,Inception,0.5062034739
har:7->13,CoDATS,0.8787878788
mfd:1->0,CoTMix,0.487236404
hhar:i->a,Raincoat,0.481233244
ultrasoundMuscleContraction:subject8->subject6,VRADA,0.645
mfd:1->2,VRADA,0.4561598224
cwrBearing:0->1,CoDATS,0.9384920635
mfd:1->3,InceptionCDAN,0.9456159822
har:2->11,VRADA,0.4947368421
wisdm:7->30,CoTMix,0.0975609756
miniTimeMatch:DK1->FR1,Raincoat,0.6477823978
miniTimeMatch:FR2->DK1,InceptionCDAN,0.8381843382
OnHWeq:OnHW_equations_L->OnHW_equations_R,SASA,0.2744471538
sleepStage:16->1,CoTMix,0.7292576419
hhar:i->a,InceptionCDAN,0.4557640751
hhar:i->a,OTDA,0.3873994638
sleepStage:0->11,InceptionRain,0.570327553
miniTimeMatch:AT1->FR2,InceptionRain,0.7326749827
ptbXLecg:0->3,Raincoat,0.5974025974
miniTimeMatch:FR1->AT1,CoTMix,0.2408177408
wisdm:21->31,Inception,0.33802816900000004
har:7->13,Inception,0.7070707071
cwrBearing:1->3,VRADA,0.4767850176
ptbXLecg:2->1,Inception,0.6450916936000001
miniTimeMatch:FR1->FR2,InceptionCDAN,0.9478516979
sleepStage:7->18,InceptionMix,0.7685512367
ultrasoundMuscleContraction:subject3->subject5,InceptionRain,0.417
sportsActivities:p5->p6,VRADA,0.2850877193
ultrasoundMuscleContraction:subject3->subject5,VRADA,0.641
hhar:e->f,CoDATS,0.7658402204
wisdm:3->27,Inception,0.3684210526
sleepStage:7->18,VRADA,0.4787985866
wisdm:21->31,InceptionCDAN,0.3802816901
cwrBearing:2->0,InceptionCDAN,0.8913159297000001
cwrBearing:1->3,InceptionCDAN,0.9379633242000001
sleepStage:16->1,SASA,0.4774381368
sportsActivities:p5->p6,OTDA,0.5526315789
OnHWeq:OnHW_equations_R->OnHW_equations_L,Inception,0.5100849257
mfd:1->0,InceptionCDAN,0.5760266371
mfd:0->1,Inception,0.46392896780000004
har:9->18,OTDA,0.5454545455
ford:FordB->FordA,InceptionDANN,0.8621212121
sleepStage:16->1,InceptionRain,0.7641921397
ultrasoundMuscleContraction:subject1->subject8,InceptionRain,0.555875
wisdm:27->3,InceptionCDAN,0.6034482759
mfd:1->3,InceptionRain,1.0
ptbXLecg:0->3,OTDA,0.41558441560000003
ford:FordA->FordB,InceptionRain,0.8024691358
