dataset_name,classifier_name,accuracy
sleepStage:12->5,CoDATS,0.7881944444000001
sportsActivities:p7->p3,InceptionSASA,0.35087719300000003
cwrBearing:1->3,InceptionRain,0.7799453765000001
ford:FordB->FordA,Raincoat,0.5916666667
sportsActivities:p5->p4,SASA,0.4692982456
ultrasoundMuscleContraction:subject1->subject8,SASA,0.583
ptbXLecg:2->1,InceptionCDAN,0.6720604099
hhar:e->f,InceptionMix,0.8347107438
miniTimeMatch:FR1->AT1,Raincoat,0.8752598753
sleepStage:9->14,InceptionDANN,0.7836456559
miniTimeMatch:FR1->AT1,InceptionMix,0.1401593902
sportsActivities:p7->p3,CoDATS,0.8201754386000001
sportsActivities:p5->p6,InceptionDANN,0.548245614
miniTimeMatch:DK1->FR2,Inception,0.7378724879
wisdm:30->7,Inception,0.23529411760000002
ptbXLecg:2->1,CoTMix,0.6073354908
ptbXLecg:0->3,InceptionCDAN,0.6363636364
ptbXLecg:0->2,CoDATS,0.5693717277
sleepStage:12->5,InceptionMix,0.6649305556
sportsActivities:p2->p4,Inception,0.7631578947000001
sportsActivities:p7->p3,OTDA,0.3070175439
ultrasoundMuscleContraction:subject8->subject6,InceptionDANN,0.355
OnHWeq:OnHW_equations_L->OnHW_equations_R,InceptionSASA,0.32355166900000004
sportsActivities:p5->p6,InceptionRain,0.41228070180000004
mfd:1->0,CoDATS,0.1731409545
cwrBearing:3->1,Inception,0.9829365079000001
har:2->11,InceptionSASA,0.7473684211
ultrasoundMuscleContraction:subject1->subject8,InceptionDANN,0.419
OnHWeq:OnHW_equations_R->OnHW_equations_L,InceptionMix,0.4352441614
sleepStage:7->18,SASA,0.4116607774
cwrBearing:2->0,Inception,0.915823122
sportsActivities:p4->p2,OTDA,0.5263157895
OnHWeq:OnHW_equations_L->OnHW_equations_R,Raincoat,0.49928529390000004
wisdm:27->3,VRADA,0.2931034483
hhar:e->f,VRADA,0.5964187328
hhar:g->h,Raincoat,0.46526054590000004
har:7->13,Raincoat,0.9393939394
ptbXLecg:0->2,InceptionMix,0.612565445
cwrBearing:3->0,CoTMix,0.8710708578
cwrBearing:1->3,SASA,0.6453374951
sleepStage:9->14,Raincoat,0.7257240204000001
cwrBearing:0->3,InceptionMix,0.8283261803
wisdm:21->31,SASA,0.3521126761
ptbXLecg:3->1,Inception,0.5846817691
ultrasoundMuscleContraction:subject2->subject7,InceptionMix,0.6452500000000001
mfd:1->3,SASA,0.526082131
ptbXLecg:0->2,CoTMix,0.640052356
cwrBearing:1->3,Inception,0.9484978541
sleepStage:0->11,CoDATS,0.5626204239
ultrasoundMuscleContraction:subject3->subject5,InceptionSASA,0.56
ptbXLecg:0->1,Inception,0.690399137
wisdm:7->30,InceptionMix,0.6585365854
mfd:0->1,OTDA,0.47391786900000005
cwrBearing:0->1,OTDA,0.5353174603
ford:FordA->FordB,InceptionSASA,0.6543209877
ford:FordA->FordB,CoDATS,0.48765432100000006
ultrasoundMuscleContraction:subject8->subject6,CoTMix,0.486
har:6->23,CoDATS,0.9017857143
miniTimeMatch:FR2->DK1,SASA,0.4447331947
wisdm:5->1,InceptionMix,0.375
hhar:c->d,InceptionRain,0.4891598916
ptbXLecg:1->3,CoTMix,0.5974025974
wisdm:27->3,InceptionMix,0.5172413793
hhar:c->d,SASA,0.5067750678
sportsActivities:p5->p6,Raincoat,0.5657894737
miniTimeMatch:AT1->FR2,Inception,0.6675329175
hhar:g->h,CoTMix,0.5384615385
ptbXLecg:0->1,InceptionSASA,0.5717367853
ptbXLecg:1->3,InceptionRain,0.6493506494
sleepStage:12->5,InceptionRain,0.7170138889000001
mfd:1->3,InceptionMix,0.9500554939
miniTimeMatch:AT1->FR2,CoDATS,0.7801455301
ptbXLecg:0->2,Inception,0.6452879581000001
ultrasoundMuscleContraction:subject4->subject5,Inception,0.35350000000000004
har:7->13,InceptionSASA,0.8282828283
sleepStage:12->5,CoTMix,0.5329861111
miniTimeMatch:DK1->FR1,VRADA,0.5178447678
cwrBearing:2->0,CoDATS,0.7101758125000001
har:9->18,InceptionSASA,0.4818181818
ultrasoundMuscleContraction:subject5->subject4,InceptionSASA,0.48350000000000004
miniTimeMatch:FR1->FR2,CoTMix,0.3328135828
cwrBearing:3->0,InceptionRain,0.9493873202
miniTimeMatch:FR1->AT1,InceptionCDAN,0.8882536383
ptbXLecg:0->3,InceptionDANN,0.5714285714
ptbXLecg:0->3,CoDATS,0.6233766234
ptbXLecg:0->3,InceptionMix,0.6753246753000001
miniTimeMatch:FR1->AT1,InceptionDANN,0.9286209286
hhar:f->e,Inception,0.6894409938
sportsActivities:p5->p4,InceptionSASA,0.4868421053
