dataset_name,classifier_name,accuracy
ultrasoundMuscleContraction:subject8->subject6,VRADA,0.645
mfd:1->2,VRADA,0.4539400666
cwrBearing:0->1,CoDATS,0.9353174603000001
mfd:1->3,InceptionCDAN,0.9966703663
har:2->11,VRADA,0.6210526316
wisdm:7->30,CoTMix,0.6097560976
miniTimeMatch:DK1->FR1,Raincoat,0.7179487179
miniTimeMatch:FR2->DK1,InceptionCDAN,0.8461538462
OnHWeq:OnHW_equations_L->OnHW_equations_R,SASA,0.332632641
sleepStage:16->1,CoTMix,0.7991266376
hhar:i->a,InceptionCDAN,0.6179624665
hhar:i->a,OTDA,0.3873994638
sleepStage:0->11,InceptionRain,0.7591522158
miniTimeMatch:AT1->FR2,InceptionRain,0.9327789328
ptbXLecg:0->3,Raincoat,0.49350649350000003
miniTimeMatch:FR1->AT1,CoTMix,0.2146569647
wisdm:21->31,Inception,0.7746478873
har:7->13,Inception,0.9191919192
cwrBearing:1->3,VRADA,0.5009754194
ptbXLecg:2->1,Inception,0.6526429342
miniTimeMatch:FR1->FR2,InceptionCDAN,0.9481981982000001
sleepStage:7->18,InceptionMix,0.7455830389
ultrasoundMuscleContraction:subject3->subject5,InceptionRain,0.619
sportsActivities:p5->p6,VRADA,0.2675438596
ultrasoundMuscleContraction:subject3->subject5,VRADA,0.641
hhar:e->f,CoDATS,0.9159779614
wisdm:3->27,Inception,0.6842105263
sleepStage:7->18,VRADA,0.5636042403
wisdm:21->31,InceptionCDAN,0.8591549296000001
cwrBearing:2->0,InceptionCDAN,0.8977091103
cwrBearing:1->3,InceptionCDAN,0.9364026531
sleepStage:16->1,SASA,0.5342066958
sportsActivities:p5->p6,OTDA,0.5350877193
OnHWeq:OnHW_equations_R->OnHW_equations_L,Inception,0.5127388535
mfd:1->0,InceptionCDAN,0.8801331853000001
mfd:0->1,Inception,0.5305216426
har:9->18,OTDA,0.5818181818
ford:FordB->FordA,InceptionDANN,0.8613636364
sleepStage:16->1,InceptionRain,0.7962154294
ultrasoundMuscleContraction:subject1->subject8,InceptionRain,0.5855
wisdm:27->3,InceptionCDAN,0.9310344828
mfd:1->3,InceptionRain,0.9988901221
ptbXLecg:0->3,OTDA,0.3636363636
ford:FordA->FordB,InceptionRain,0.8086419753
wisdm:3->5,OTDA,0.4130434783
hhar:g->h,VRADA,0.5421836228
ptbXLecg:0->1,SASA,0.5836030205
